"STATE","Use"
"AK",765.71
"AL",8247.26
"AR",13832.55
"AZ",5979.34
"CA",28759.42
"CO",10325.51
"CT",3128.1
"DC",0.05
"DE",790.11
"FL",15284.81
"GA",3381.15
"HI",1060.43
"IA",2688.2
"ID",17737.17
"IL",10493.6
"IN",7176.72
"KS",4018.92
"KY",2832.57
"LA",8746.01
"MA",1407.33
"MD",6526.53
"ME",508.78
"MI",10052.84
"MN",3230.4
"MO",8427.14
"MS",2686.12
"MT",9812.1
"NC",10271.65
"ND",1395.39
"NE",9499.05
"NH",935.44
"NJ",5309.65
"NM",2898.9
"NV",2964.22
"NY",10798.03
"OH",6524.79
"OK",1962.41
"OR",6575.8
"PA",6035.69
"PR",2370.45
"RI",343.24
"SC",6172.01
"SD",399.99
"TN",6421.68
"TX",21267.65
"UT",4225.29
"VA",6729.79
"VI",105.27
"VT",90.94
"WA",4255.59
"WI",5755.75
"WV",2320.28
"WY",8144.25
